problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,12,3132.1587894306635,261.0132324525553,0.18128360000264365,7,joint_route,109,12,0,0,2427.1587894306626,100.0,545.0,36.0,24.0,276,12,0,6,12,18,17,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482114,12,1.0,950.0,fixed,0
3,True,16,3053.074860573464,190.8171787858415,0.22700660000555217,6,joint_route,86,16,0,0,2462.074860573464,81.0,430.0,48.0,32.0,309,16,3,12,16,18,18,False,0,0,1,1,integrated,original,aggressive,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482115,16,1.0,950.0,fixed,0
3,True,16,2765.4031898937833,172.83769936836146,0.2611264000006486,6,joint_route,81,16,0,0,2206.4031898937837,74.0,405.0,48.0,32.0,357,16,3,12,16,22,18,False,0,0,1,1,integrated,original,aggressive,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3482116,16,1.0,950.0,fixed,0
3,True,13,3232.2036969100395,248.63105360846458,0.20003329998871777,7,joint_route,101,13,0,0,2570.2036969100395,92.0,505.0,39.0,26.0,242,13,4,14,13,22,15,False,0,0,1,0,integrated,original,aggressive,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482117,13,1.0,950.0,fixed,0
3,True,15,3852.397190629686,256.82647937531243,0.21496849998948164,7,joint_route,112,15,0,0,3116.3971906296856,101.0,560.0,45.0,30.0,308,15,2,8,13,12,19,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482118,15,1.0,950.0,fixed,0
3,True,12,3311.7310307748903,275.97758589790755,0.19876499999372754,7,joint_route,118,12,0,0,2553.731030774891,108.0,590.0,36.0,24.0,251,12,1,4,12,10,16,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482119,12,1.0,950.0,fixed,0
3,True,12,3331.4135386084076,277.61779488403397,0.17480170000635553,7,joint_route,119,12,0,0,2565.413538608408,111.0,595.0,36.0,24.0,240,12,4,11,12,16,14,False,0,0,1,0,integrated,original,aggressive,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482120,12,1.0,950.0,fixed,0
3,True,14,2860.5474297425526,204.32481641018234,0.1979635000025155,7,joint_route,93,14,0,0,2239.5474297425535,86.0,465.0,42.0,28.0,263,14,0,8,14,23,19,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482121,14,1.0,950.0,fixed,0
3,True,12,3220.709761579378,268.39248013161483,0.18536420000600629,7,joint_route,117,12,0,0,2467.709761579378,108.0,585.0,36.0,24.0,263,12,2,8,12,6,16,False,0,0,1,0,integrated,original,aggressive,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3482122,12,1.0,950.0,fixed,0
3,True,13,3098.714660871738,238.36266622090292,0.17329249999602325,7,joint_route,108,13,0,0,2393.7146608717385,100.0,540.0,39.0,26.0,229,13,2,7,13,17,17,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482123,13,1.0,950.0,fixed,0
3,True,12,3199.528988104903,266.6274156754086,0.17692520000855438,7,joint_route,112,12,0,0,2476.528988104902,103.0,560.0,36.0,24.0,264,12,3,6,12,15,15,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482124,12,1.0,950.0,fixed,0
3,True,11,2872.728348739293,261.157122612663,0.1661350000067614,7,joint_route,110,11,0,0,2163.7283487392924,104.0,550.0,33.0,22.0,230,11,3,10,11,14,14,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482125,11,1.0,950.0,fixed,0
3,True,12,2834.862973209883,236.23858110082358,0.1667682999977842,7,joint_route,103,12,0,0,2162.862973209883,97.0,515.0,36.0,24.0,239,12,0,8,12,10,17,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482126,12,1.0,950.0,fixed,0
3,True,12,2948.6803507077807,245.72336255898173,0.15717920000315644,7,joint_route,106,12,0,0,2258.68035070778,100.0,530.0,36.0,24.0,194,12,1,7,12,12,17,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482127,12,1.0,950.0,fixed,0
3,True,14,3300.837870289106,235.77413359207898,0.20428479999827687,7,joint_route,99,14,0,0,2644.837870289105,91.0,495.0,42.0,28.0,241,14,1,10,14,23,19,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482128,14,1.0,950.0,fixed,0
3,True,11,2995.1817319310207,272.2892483573655,0.1788760000054026,7,joint_route,115,11,0,0,2258.181731931021,107.0,575.0,33.0,22.0,253,11,4,6,11,13,13,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482129,11,1.0,950.0,fixed,0
3,True,10,3084.6815403969895,308.46815403969896,0.13960970001062378,7,joint_route,118,10,0,0,2335.6815403969895,109.0,590.0,30.0,20.0,194,10,3,4,10,10,13,False,0,0,1,0,integrated,original,aggressive,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482130,10,1.0,950.0,fixed,0
