problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,14,4072.985284145729,290.92752029612353,0.2740177999949083,True,7,117,14,0,0,joint,310004,14,3309.985284145728,108.0,585.0,42.0,28.0,331,14,7,18,0
3,14,4073.872164630962,290.99086890221156,0.2753213000105461,True,7,117,14,0,0,joint_safe,310004,14,3310.872164630962,108.0,585.0,42.0,28.0,331,14,7,18,13
3,12,4362.940391172239,363.57836593101996,0.18203820000053383,True,7,112,12,0,0,baseline,310005,12,3644.94039117224,98.0,560.0,36.0,24.0,,,,,
3,12,4063.1272444287097,338.5939370357258,0.21611700000357814,True,7,108,12,0,0,local,310005,12,3365.1272444287097,98.0,540.0,36.0,24.0,293,0,0,0,0
3,12,4047.288077436889,337.2740064530741,0.23946779999823775,True,7,111,12,0,0,route,310005,12,3329.2880774368896,103.0,555.0,36.0,24.0,282,0,0,0,0
3,12,4034.587848071056,336.21565400592135,0.23573909999686293,True,7,111,12,0,0,safe,310005,12,3316.587848071056,103.0,555.0,36.0,24.0,282,0,0,0,12
3,12,4005.999542689778,333.8332952241482,0.24986499999067746,True,7,126,12,0,0,joint,310005,12,3199.999542689777,116.0,630.0,36.0,24.0,315,12,1,3,0
3,12,3975.493040522599,331.2910867102166,0.21668949999730103,True,7,126,12,0,0,joint_safe,310005,12,3169.4930405225987,116.0,630.0,36.0,24.0,315,12,1,3,12
3,16,5366.704408729668,335.41902554560426,0.29315529999439605,True,7,110,16,0,0,baseline,310006,16,4647.704408729669,89.0,550.0,48.0,32.0,,,,,
3,16,4589.619409368168,286.8512130855105,0.28430449998995755,True,7,104,16,0,0,local,310006,16,3900.6194093681684,89.0,520.0,48.0,32.0,429,0,0,0,0
3,16,4430.391358426346,276.89945990164665,0.32958969999162946,True,5,90,16,0,0,route,310006,16,3824.391358426345,76.0,450.0,48.0,32.0,461,0,0,0,0
3,16,4609.160069921467,288.0725043700917,0.35514480000711046,True,7,116,16,0,0,safe,310006,16,3850.1600699214678,99.0,580.0,48.0,32.0,475,0,0,0,15
3,16,4199.506752491218,262.46917203070115,0.3525443999969866,True,6,118,16,0,0,joint,310006,16,3425.506752491218,104.0,590.0,48.0,32.0,462,16,2,13,0
3,16,4192.555926761885,262.0347454226178,0.34286090001114644,True,6,118,16,0,0,joint_safe,310006,16,3418.5559267618837,104.0,590.0,48.0,32.0,462,16,2,13,14
3,10,3643.435748714233,364.3435748714233,0.15314749999379274,True,7,118,10,0,0,baseline,310007,10,2896.4357487142333,107.0,590.0,30.0,20.0,,,,,
3,10,3423.5579567525247,342.35579567525247,0.1787051999999676,True,7,115,10,0,0,local,310007,10,2691.557956752525,107.0,575.0,30.0,20.0,237,0,0,0,0
3,10,3065.5895339602985,306.55895339602984,0.16784320000442676,True,7,118,10,0,0,route,310007,10,2315.5895339602985,110.0,590.0,30.0,20.0,237,0,0,0,0
