arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,sources,stations_visited,switch_s,virtual_time_s,wall_s
default,239,11,11,True,11,0,0,0,22.0,318.03242476592527,115,575.0,2760.3566724251773,0,0,0,True,13,33.0,3,0.1608097000134876,16,10,joint_route,3000075,2,11,7,108.0,3498.3566724251777,0.16086519999953452
negative,251,11,11,True,11,0,0,0,22.0,317.71285968486706,116,580.0,2751.8414565335374,54,84,0,True,13,33.0,3,0.17467160000524018,16,10,joint_route,3000075,2,11,7,108.0,3494.841456533538,0.17473539999627974
default,340,16,16,True,16,0,0,1,32.0,218.51490560778402,101,505.0,2816.2384897245447,0,0,0,True,16,48.0,3,0.24309720000019297,20,16,joint_route,3000076,3,16,7,95.0,3496.2384897245443,0.24315819999901578
negative,340,16,16,True,16,0,0,1,32.0,219.09590837210243,101,505.0,2825.5345339536393,54,57,0,True,16,48.0,3,0.24943890000577085,20,16,joint_route,3000076,3,16,7,95.0,3505.534533953639,0.24951389999478124
default,229,11,11,True,11,0,0,1,22.0,328.9517815275984,119,595.0,2856.469596803581,0,0,0,True,11,33.0,3,0.16652780000003986,15,10,joint_route,3000077,2,11,7,112.0,3618.4695968035826,0.16658339998684824
negative,217,11,11,True,11,0,0,1,22.0,318.9699650346748,118,590.0,2751.669615381422,53,88,0,True,11,33.0,3,0.16275899999891408,15,10,joint_route,3000077,2,11,7,112.0,3508.6696153814223,0.16283099999418482
default,215,11,11,True,11,0,0,0,22.0,307.0156372221333,120,600.0,2607.1720094434654,0,0,0,True,12,33.0,3,0.17041109999991022,15,11,joint_route,3000078,2,11,7,115.0,3377.1720094434663,0.170467700008885
negative,215,11,11,True,11,0,0,0,22.0,307.0156372221333,120,600.0,2607.1720094434654,49,90,0,True,12,33.0,3,0.17368429999623913,15,11,joint_route,3000078,2,11,7,115.0,3377.1720094434663,0.1737554999999702
default,352,15,15,True,15,0,0,6,30.0,278.0602588916434,124,620.0,3360.9038833746517,0,0,0,True,35,45.0,3,0.24164520000340417,15,15,joint_route,3000079,12,15,7,115.0,4170.903883374651,0.24170969999977387
negative,352,15,15,True,15,0,0,6,30.0,270.03165631679786,124,620.0,3240.4748447519682,100,81,0,True,35,45.0,3,0.23997459998645354,15,15,joint_route,3000079,12,15,7,115.0,4050.4748447519682,0.240043700003298
