absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,sources,stations_visited,switch_s,virtual_time_s,wall_s
0,noclosure,42,0,12,12,True,0,12,0,0,0,0,0,24.0,525.0598405914513,299,1495.0,4474.718087097416,True,0,36.0,2,4,0.15718110000307206,0,0,0,0,37,7,3100059,54,5,5,12,25,271.0,6300.718087097416,0.17424820001178887
0,step,38,0,12,12,True,0,12,0,0,0,0,0,24.0,507.9933012462602,301,1505.0,4253.9196149551235,True,0,36.0,0,4,0.16258469999593217,0,0,19,12,49,7,3100059,57,5,5,12,25,277.0,6095.919614955123,0.17921630000637379
0,default,28,0,18,11,True,0,11,0,0,7,1,0,22.0,607.6046111916289,384,1920.0,4330.650723107919,True,0,54.0,0,4,0.2803713000030257,0,0,0,0,36,4,3100060,34,7,6,11,25,357.0,6683.650723107918,0.29723419999936596
0,noclosure,28,0,18,11,True,0,11,0,0,7,1,0,22.0,607.6046111916289,384,1920.0,4330.650723107919,True,0,54.0,0,4,0.2845642000029329,0,0,0,0,36,4,3100060,34,7,6,11,25,357.0,6683.650723107918,0.30065010000544135
0,step,14,0,18,11,True,0,11,0,0,7,1,0,22.0,599.9787254129501,384,1920.0,4242.765979542452,True,0,54.0,0,4,0.278152200000477,0,1,10,6,42,3,3100060,29,8,7,11,25,361.0,6599.7659795424515,0.2950561000034213
0,default,57,0,15,13,True,0,13,0,0,2,0,0,26.0,482.8331244342977,332,1660.0,4236.830617645868,True,0,45.0,1,4,0.18076960000325926,0,0,0,0,38,7,3100061,61,8,6,13,25,309.0,6276.83061764587,0.1987619999999879
0,noclosure,57,0,15,13,True,0,13,0,0,2,0,0,26.0,482.8331244342977,332,1660.0,4236.830617645868,True,0,45.0,1,4,0.1808463000052143,0,0,0,0,38,7,3100061,61,8,6,13,25,309.0,6276.83061764587,0.19754679998732172
0,step,32,0,15,13,True,0,13,0,0,2,0,0,26.0,479.2109635430746,332,1660.0,4187.74252605997,True,0,45.0,1,4,0.16803000000072643,0,0,14,7,45,7,3100061,61,8,6,13,25,311.0,6229.74252605997,0.18476810000720434
0,default,72,0,20,15,True,0,15,0,0,5,1,0,30.0,455.0739340847398,294,1470.0,5001.109011271099,True,0,60.0,2,4,0.3583370999986073,0,0,0,0,40,10,3100062,44,4,4,15,25,265.0,6826.109011271097,0.37469680000504013
0,noclosure,72,0,20,15,True,0,15,0,0,5,1,0,30.0,455.0739340847398,294,1470.0,5001.109011271099,True,0,60.0,2,4,0.3585211000026902,0,0,0,0,40,10,3100062,44,4,4,15,25,265.0,6826.109011271097,0.3755323999939719
0,step,24,0,21,15,True,0,15,0,0,6,1,0,30.0,431.1235832368078,288,1440.0,4667.853748552118,True,0,63.0,0,4,0.29789960000198334,0,1,17,9,49,7,3100062,38,8,7,15,25,266.0,6466.853748552117,0.3153189000004204
0,default,78,0,23,12,True,0,12,0,0,11,1,0,24.0,546.319789088925,318,1590.0,4581.837469067102,True,0,69.0,1,4,0.3434992000111379,0,0,0,0,37,7,3100063,33,6,4,12,25,291.0,6555.8374690671,0.36001889999897685
0,noclosure,78,0,23,12,True,0,12,0,0,11,1,0,24.0,546.319789088925,318,1590.0,4581.837469067102,True,0,69.0,1,4,0.3378833000024315,0,0,0,0,37,7,3100063,33,6,4,12,25,291.0,6555.8374690671,0.3543070000014268
0,step,63,0,23,12,True,0,12,0,0,11,1,0,24.0,539.7514585736297,318,1590.0,4501.017502883559,True,0,69.0,0,4,0.3293342999968445,0,1,18,11,48,6,3100063,51,7,5,12,25,293.0,6477.017502883557,0.34602369999629445
0,default,84,0,22,13,True,0,13,0,0,9,1,0,26.0,502.260577018654,323,1615.0,4524.387501242503,True,0,66.0,0,4,0.351871899998514,0,0,0,0,38,8,3100064,51,4,4,13,25,298.0,6529.3875012425015,0.36810659999900963
0,noclosure,84,0,22,13,True,0,13,0,0,9,1,0,26.0,502.260577018654,323,1615.0,4524.387501242503,True,0,66.0,0,4,0.3529737000062596,0,0,0,0,38,8,3100064,51,4,4,13,25,298.0,6529.3875012425015,0.370036499996786
0,step,43,0,25,13,True,0,13,0,0,12,2,0,26.0,500.2327947387724,313,1565.0,4545.026331604038,True,0,75.0,0,4,0.3900831999926595,0,2,16,7,45,7,3100064,59,4,4,13,25,292.0,6503.026331604041,0.40743200000724755
0,default,28,0,15,15,True,0,15,0,0,0,0,0,30.0,398.6870320657415,265,1325.0,4340.305480986122,True,0,45.0,0,4,0.17289030000392813,0,0,0,0,40,5,3100065,80,10,10,15,25,240.0,5980.305480986122,0.18938779999734834
0,noclosure,28,0,15,15,True,0,15,0,0,0,0,0,30.0,398.6870320657415,265,1325.0,4340.305480986122,True,0,45.0,0,4,0.169652299999143,0,0,0,0,40,5,3100065,80,10,10,15,25,240.0,5980.305480986122,0.18645410001045093
0,step,14,0,16,15,True,0,15,0,0,1,0,0,30.0,398.63247400467657,265,1325.0,4336.487110070148,True,0,48.0,0,4,0.1670237999933306,0,0,10,5,45,5,3100065,80,11,10,15,25,240.0,5979.487110070148,0.18347640000865795
0,default,72,0,11,10,True,0,10,0,0,1,0,0,20.0,652.8783392569799,373,1865.0,4261.783392569799,True,0,33.0,1,4,0.17956380000396166,0,0,0,0,35,6,3100066,13,5,4,10,25,349.0,6528.783392569799,0.19576149999920744
