a_m,b_m,score_per_radian
725,200,7196.491468059348
275,350,7206.834569762021
975,150,7250.290303344933
150,400,7251.7986779370995
475,275,7251.8350238261955
550,250,7265.71031312017
400,300,7273.30935418778
200,375,7301.14629543077
325,325,7322.4298933630025
625,225,7326.236781024048
800,175,7387.058500499608
250,350,7393.730379609549
900,150,7393.857629060768
125,400,7440.942773371733
700,200,7450.824076389315
450,275,7463.750565927309
375,300,7476.134245225755
175,375,7483.199378220046
525,250,7489.105276362036
300,325,7517.931046207445
600,225,7564.426953941175
225,350,7583.243495310951
100,400,7633.268617931423
775,175,7667.964799988701
150,375,7673.127502988847
425,275,7678.691196783879
350,300,7681.843877192242
675,200,7708.5651127626015
875,150,7709.240386142281
500,250,7715.67002826115
275,325,7716.1830798516785
200,350,7775.381004829592
575,225,7805.931344357684
125,375,7875.483050380832
325,300,7890.450552786712
400,275,7896.6733990870525
250,325,7917.195087555683
475,250,7945.426544234759
750,175,7952.368198298564
650,200,7969.754693336214
175,350,7970.149524193539
850,150,8028.045350014167
550,225,8050.779251080965
100,375,8081.252174799509
300,300,8101.965907104684
375,275,8117.712878917125
225,325,8120.97559522299
150,350,8167.555191232815
450,250,8178.395910488791
625,200,8234.4321136966
725,175,8240.32286310577
525,225,8298.998976728182
275,300,8316.400887301204
200,325,8327.532552190429
350,275,8341.824526738372
825,150,8350.347263492566
125,350,8375.454606337249
950,125,8388.646241374166
425,250,8414.598254021288
600,200,8502.635585537126
700,175,8531.882268753461
250,300,8533.765739493754
175,325,8536.873326673722
500,225,8550.617706446488
325,275,8569.022389728138
100,350,8596.651941823804
925,125,8629.899196829481
400,250,8654.052690554641
800,150,8676.221429751682
150,325,8749.00470515057
225,300,8754.070001789974
575,200,8774.402030297475
300,275,8799.319653679446
475,225,8805.661415401957
75,350,8821.559881309891
675,175,8827.098750819086
975,125,8866.525273370242
375,250,8896.777287552679
125,325,8963.932895059255
200,300,8977.32250248036
775,150,9005.742737304874
900,125,9009.24900477691
275,275,9032.728632972057
550,200,9049.766919850086
450,225,9064.15480031517
650,175,9126.023157639926
350,250,9142.789039915227
100,325,9194.95101668512
175,300,9203.531362568641
250,275,9269.260767323442
425,225,9326.121231097168
525,200,9328.764156124766
750,150,9338.984901315172
875,125,9391.980699150514
325,250,9392.103856307496
625,175,9428.70458066553
150,300,9432.704001926764
75,325,9438.069344501278
225,275,9508.9266242154
400,225,9591.58271927639
500,200,9611.425983005533
300,250,9644.736554387662
125,300,9664.847148459216
725,150,9676.019875871556
600,175,9735.190149139826
200,275,9751.735906048909
850,125,9778.205061324607
375,225,9860.55990043258
475,200,9897.782924993766
100,300,9899.966849746366
275,250,9900.700863453325
175,275,9997.697461213911
700,150,10016.917402293597
575,175,10045.524877443027
350,225,10133.072028289056
250,250,10160.009433245192
75,300,10161.254644871087
825,125,10168.031527752126
450,200,10187.863748069596
150,275,10246.819298375685
550,175,10359.75155563934
675,150,10361.744666312035
325,225,10409.13697847717
225,250,10422.67384783042
425,200,10481.695438946255
125,275,10499.108603377943
800,125,10561.567199548643
525,175,10677.910675525676
200,250,10688.704643644785
300,225,10688.771260289835
650,150,10710.566042839402
100,275,10754.571758247745
400,200,10779.303199535709
950,100,10837.740920664808
175,250,10958.111330906284
775,125,10958.916094652443
275,225,10971.990034995179
500,175,11000.040385867
75,275,11020.07991341678
625,150,11063.44291150492
375,200,11080.710453956739
