problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,mode,seed,total,normal_exit,strategy,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,belief_decisions,belief_unavailable,route_decisions,planning_time_s
4,10,10111.84783890353,1011.184783890353,0.7910182000050554,True,31,379,18,8,1,route,720015,10,True,directional_layers_safe,7805.847838903532,337.0,1895.0,54.0,20.0,0,0,0,0,9,0,0,29,0.0
4,10,10122.686054922924,1012.2686054922924,0.6765526000090176,True,31,375,19,9,1,belief,720015,10,True,directional_layers_safe,7837.686054922925,333.0,1875.0,57.0,20.0,0,0,0,0,9,25,1,0,0.3835387000726769
4,10,10163.401644957914,1016.3401644957914,0.3284875999961514,True,31,375,17,7,1,scan,720015,10,True,directional_layers_safe,7884.401644957914,333.0,1875.0,51.0,20.0,0,0,0,0,9,0,0,0,0.0
4,10,10139.84252269795,1013.9842522697951,1.1501786000007996,True,31,378,13,3,1,combined,720015,10,True,directional_layers_safe,7853.8425226979525,337.0,1890.0,39.0,20.0,0,0,0,0,9,24,1,29,0.36020500004815403
4,14,11060.268141074068,790.019152933862,0.2028269000002183,True,31,307,14,0,0,original,720016,14,True,,,,,,,,,,,,,,,
4,14,10264.551304706627,733.1822360504733,0.6377091000031214,True,31,298,67,53,3,reference,720016,14,True,directional_layers_safe,8288.55130470663,257.0,1490.0,201.0,28.0,0,0,0,0,11,,,,
4,14,10306.7290060629,736.1949290044929,1.0940124000044307,True,31,315,67,53,3,route,720016,14,True,directional_layers_safe,8228.729006062902,274.0,1575.0,201.0,28.0,0,0,0,0,11,0,0,30,0.0
4,14,9615.43734114228,686.8169529387343,0.6716693999915151,True,31,299,14,0,0,belief,720016,14,True,directional_layers_safe,7791.43734114228,259.0,1495.0,42.0,28.0,0,0,0,0,14,31,0,0,0.5227831999509363
4,14,11243.242136817806,803.0887240584146,0.7876827000000048,True,31,298,137,123,3,scan,720016,14,True,directional_layers_safe,9057.242136817824,257.0,1490.0,411.0,28.0,0,0,0,0,11,0,0,0,0.0
4,14,9416.53067255217,672.6093337537264,1.0715930000005756,True,31,307,14,0,0,combined,720016,14,True,directional_layers_safe,7545.530672552167,266.0,1535.0,42.0,28.0,0,0,0,0,14,32,0,30,0.5043470000236994
4,14,10910.918010606287,779.3512864718776,0.1779643999907421,True,31,360,21,7,1,original,720017,14,True,,,,,,,,,,,,,,,
4,14,10029.537656637222,716.3955469026587,0.48183020000578836,True,31,284,33,19,2,reference,720017,14,True,directional_layers_safe,8243.537656637222,239.0,1420.0,99.0,28.0,0,0,0,0,12,,,,
4,14,10029.537656637222,716.3955469026587,0.8727011000009952,True,31,284,33,19,2,route,720017,14,True,directional_layers_safe,8243.537656637222,239.0,1420.0,99.0,28.0,0,0,0,0,12,0,0,29,0.0
4,14,10842.734731866909,774.4810522762078,1.197189200000139,True,31,298,35,21,2,belief,720017,14,True,directional_layers_safe,8980.734731866913,239.0,1490.0,105.0,28.0,0,0,0,0,12,46,0,0,0.6971087000420084
4,14,10050.841366654533,717.9172404753238,0.571000500000082,True,31,284,31,17,2,scan,720017,14,True,directional_layers_safe,8270.841366654533,239.0,1420.0,93.0,28.0,0,0,0,0,12,0,0,0,0.0
4,14,10809.291132862065,772.0922237758617,1.6787490999995498,True,31,298,25,11,2,combined,720017,14,True,directional_layers_safe,8977.291132862067,239.0,1490.0,75.0,28.0,0,0,0,0,12,46,0,29,0.6965357000444783
4,14,10772.406719626457,769.4576228304612,0.1682730000029551,True,31,314,23,9,1,original,720018,14,True,,,,,,,,,,,,,,,
4,14,9968.385251733127,712.0275179809377,0.13697450001200195,True,31,299,14,0,0,reference,720018,14,True,directional_layers_safe,8149.385251733131,254.0,1495.0,42.0,28.0,0,0,0,0,14,,,,
4,14,10697.100731086033,764.0786236490023,0.5522500000079162,True,31,310,14,0,0,route,720018,14,True,directional_layers_safe,8813.100731086035,264.0,1550.0,42.0,28.0,0,0,0,0,14,0,0,29,0.0
4,14,9932.61809209969,709.4727208642636,0.619108500002767,True,31,296,14,0,0,belief,720018,14,True,directional_layers_safe,8128.618092099694,254.0,1480.0,42.0,28.0,0,0,0,0,14,32,0,0,0.478523400000995
4,14,9968.385251733127,712.0275179809377,0.13998700000229292,True,31,299,14,0,0,scan,720018,14,True,directional_layers_safe,8149.385251733131,254.0,1495.0,42.0,28.0,0,0,0,0,14,0,0,0,0.0
4,14,10701.511512856183,764.3936794897273,1.062470700009726,True,31,306,14,0,0,combined,720018,14,True,directional_layers_safe,8837.511512856183,264.0,1530.0,42.0,28.0,0,0,0,0,14,32,0,29,0.5025096999888774
4,10,9549.133566819786,954.9133566819786,0.14233219999005087,True,31,379,10,0,0,original,720019,10,True,,,,,,,,,,,,,,,
4,10,9239.99977612384,923.9999776123839,0.09874809999018908,True,31,361,10,0,0,reference,720019,10,True,directional_layers_safe,7057.999776123837,327.0,1805.0,30.0,20.0,0,0,0,0,10,,,,
4,10,9100.910122685638,910.0910122685639,0.5688269999955082,True,31,361,10,0,0,route,720019,10,True,directional_layers_safe,6918.910122685637,327.0,1805.0,30.0,20.0,0,0,0,0,10,0,0,29,0.0
4,10,9389.903836453881,938.9903836453881,0.437001499987673,True,31,362,10,0,0,belief,720019,10,True,directional_layers_safe,7202.90383645388,327.0,1810.0,30.0,20.0,0,0,0,0,10,19,0,0,0.32298620002984535
4,10,9239.99977612384,923.9999776123839,0.09762339999724645,True,31,361,10,0,0,scan,720019,10,True,directional_layers_safe,7057.999776123837,327.0,1805.0,30.0,20.0,0,0,0,0,10,0,0,0,0.0
4,10,9250.81418301568,925.081418301568,0.9147166999900946,True,31,362,10,0,0,combined,720019,10,True,directional_layers_safe,7063.81418301568,327.0,1810.0,30.0,20.0,0,0,0,0,10,19,0,29,0.32300040002155583
4,13,11204.941395159076,861.9185688583905,0.16857789999630768,True,31,316,19,6,1,original,720020,13,True,,,,,,,,,,,,,,,
4,13,9928.371218037046,763.7208629259266,0.3002100000012433,True,31,311,26,13,1,reference,720020,13,True,directional_layers_safe,7996.371218037048,273.0,1555.0,78.0,26.0,0,0,0,0,12,,,,
4,13,10246.274152751159,788.1749348270122,0.8929306000063661,True,31,301,37,24,2,route,720020,13,True,directional_layers_safe,8344.274152751153,260.0,1505.0,111.0,26.0,0,0,0,0,11,0,0,29,0.0
4,13,10220.590964021569,786.199304924736,0.8258843999938108,True,31,316,26,13,1,belief,720020,13,True,directional_layers_safe,8263.59096402157,273.0,1580.0,78.0,26.0,0,0,0,0,12,32,0,0,0.5207706000073813
4,13,9949.874735164236,765.3749796280182,0.3415453999914462,True,31,311,25,12,1,scan,720020,13,True,directional_layers_safe,8020.87473516424,273.0,1555.0,75.0,26.0,0,0,0,0,12,0,0,0,0.0
4,13,10851.872563351231,834.7594279500947,1.5498202000017045,True,31,312,25,12,2,combined,720020,13,True,directional_layers_safe,8930.872563351235,260.0,1560.0,75.0,26.0,0,0,0,0,11,40,0,29,0.5909383000107482
4,14,11102.265902351155,793.0189930250825,0.1696728999959305,True,31,358,17,3,1,original,720021,14,True,,,,,,,,,,,,,,,
4,14,9723.540512572012,694.538608040858,0.3780467000033241,True,31,305,24,10,2,reference,720021,14,True,directional_layers_safe,7833.5405125720135,265.0,1525.0,72.0,28.0,0,0,0,0,12,,,,
4,14,9603.292913039542,685.9494937885387,0.6602132999978494,True,31,314,18,4,1,route,720021,14,True,directional_layers_safe,7676.29291303954,275.0,1570.0,54.0,28.0,0,0,0,0,13,0,0,29,0.0
4,14,9681.983261265135,691.5702329475097,0.646351000003051,True,31,305,14,0,0,belief,720021,14,True,directional_layers_safe,7821.983261265135,265.0,1525.0,42.0,28.0,0,0,0,0,14,32,0,0,0.4925633999664569
4,14,9791.74063916852,699.4100456548942,0.4089512999926228,True,31,305,28,14,2,scan,720021,14,True,directional_layers_safe,7889.740639168522,265.0,1525.0,84.0,28.0,0,0,0,0,12,0,0,0,0.0
4,14,9552.139961939667,682.295711567119,1.0654987000016263,True,31,313,14,0,0,combined,720021,14,True,directional_layers_safe,7642.139961939667,275.0,1565.0,42.0,28.0,0,0,0,0,14,32,0,29,0.4889421999687329
