problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,scenario,seed,strategy,total,normal_exit,max_step_time_error_s,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,16,3799.453502237334,237.46584388983337,0.5219224000029499,True,1,65,16,0,0,grid_and_near,510010,baseline,16,True,0.0,,,,,,,,,,
3,16,2911.3426140644,181.958913379025,0.3296120000013616,True,4,94,16,0,0,grid_and_near,510010,joint_safe,16,True,0.0,2283.3426140644,78.0,470.0,48.0,32.0,496,15,8,32,15
3,14,5231.810157537069,373.70072553836206,0.4007051000080537,True,7,95,14,0,0,grid_and_near,510011,baseline,14,True,9.094947017729282e-13,,,,,,,,,,
3,14,3611.1378156337087,257.93841540240777,0.26583850001043174,True,7,109,14,0,0,grid_and_near,510011,joint_safe,14,True,0.0,2903.1378156337087,93.0,545.0,42.0,28.0,428,13,7,27,13
4,11,10558.748954744486,959.886268613135,0.12548210000386462,True,31,441,28,17,2,plus_r1000,510000,baseline,11,True,0.0,,,,,,,,,,
4,11,10157.654749760028,923.4231590690935,0.7075846000079764,True,31,399,60,49,4,plus_r1000,510000,directional_layers_safe,11,True,0.0,7596.654749760023,364.0,1995.0,180.0,22.0,0,0,0,0,7
4,13,9979.418811167765,767.6476008590588,0.17734529999142978,True,31,380,28,15,1,plus_r1000,510001,baseline,13,True,0.0,,,,,,,,,,
4,13,10332.167224221295,794.7820941708688,0.35459429999173153,True,31,345,52,39,1,plus_r1000,510001,directional_layers_safe,13,True,0.0,8119.167224221301,306.0,1725.0,156.0,26.0,0,0,0,0,12
4,13,9753.903573909805,750.3002749161388,0.18206279999867547,True,31,309,27,14,1,plus_r1000,510002,baseline,13,True,1.1368683772161603e-13,,,,,,,,,,
4,13,11231.623947612446,863.9710728932652,1.0526310999994166,True,31,337,134,121,5,plus_r1000,510002,directional_layers_safe,13,True,1.8189894035458565e-12,8823.623947612446,295.0,1685.0,402.0,26.0,0,0,0,0,8
4,13,10593.550284503874,814.8884834233749,0.19499869999708608,True,31,373,35,22,2,plus_r1000,510003,baseline,13,True,0.0,,,,,,,,,,
4,13,9737.673279079941,749.051790698457,0.34353959999862127,True,31,322,18,5,1,plus_r1000,510003,directional_layers_safe,13,True,0.0,7769.673279079943,278.0,1610.0,54.0,26.0,0,0,0,0,12
4,15,10715.335475957496,714.3556983971664,0.2243455999996513,True,31,289,58,43,4,plus_r1000,510004,baseline,15,True,2.2737367544323206e-13,,,,,,,,,,
4,15,10652.891073587198,710.1927382391465,0.8955012000078568,True,31,253,105,90,4,plus_r1000,510004,directional_layers_safe,15,True,0.0,8835.891073587216,207.0,1265.0,315.0,30.0,0,0,0,0,11
4,15,10617.345521987252,707.8230347991502,0.2137494000053266,True,31,324,34,19,2,plus_r1000,510005,baseline,15,True,0.0,,,,,,,,,,
4,15,10869.211669957607,724.6141113305072,0.8892786999931559,True,31,328,68,53,4,plus_r1000,510005,directional_layers_safe,15,True,4.547473508864641e-13,8706.21166995761,289.0,1640.0,204.0,30.0,0,0,0,0,11
4,13,9961.273352680468,766.251796360036,0.1646723000012571,True,31,385,16,3,1,plus_r1000,510006,baseline,13,True,0.0,,,,,,,,,,
4,13,10479.832813036708,806.1409856182083,0.5386001000006218,True,31,355,88,75,2,plus_r1000,510006,directional_layers_safe,13,True,1.1368683772161603e-13,8098.83281303668,316.0,1775.0,264.0,26.0,0,0,0,0,11
4,15,9773.574729705224,651.571648647015,0.22265699999115895,True,31,240,33,18,2,plus_r1000,510007,baseline,15,True,0.0,,,,,,,,,,
4,15,9953.484499524418,663.5656333016279,0.6379332000069553,True,31,262,86,71,2,plus_r1000,510007,directional_layers_safe,15,True,4.547473508864641e-13,8139.484499524422,216.0,1310.0,258.0,30.0,0,0,0,0,13
4,12,11068.946350732484,922.4121958943737,0.16449899999133777,True,31,370,30,18,2,plus_r1000,510008,baseline,12,True,0.0,,,,,,,,,,
4,12,10838.744478456052,903.2287065380043,0.5668941000039922,True,31,348,53,41,2,plus_r1000,510008,directional_layers_safe,12,True,0.0,8612.74447845606,303.0,1740.0,159.0,24.0,0,0,0,0,10
4,11,10956.392143731464,996.035649430133,0.16090980000444688,True,31,427,43,32,4,plus_r1000,510009,baseline,11,True,0.0,,,,,,,,,,
4,11,10602.40948622792,963.8554078389018,0.9896726000006311,True,31,364,108,97,4,plus_r1000,510009,directional_layers_safe,11,True,0.0,8112.409486227918,324.0,1820.0,324.0,22.0,0,0,0,0,7
4,16,7505.234380968356,469.07714881052226,0.22565300000132993,True,19,221,59,43,4,plus_r1000,510010,baseline,16,True,0.0,,,,,,,,,,
4,16,6169.802944173904,385.612684010869,0.9747401000058744,True,12,149,110,94,4,plus_r1000,510010,directional_layers_safe,16,True,4.547473508864641e-13,4942.802944173898,120.0,745.0,330.0,32.0,0,0,0,0,12
4,14,9838.433989669013,702.745284976358,0.19454969999787863,True,31,370,14,0,0,plus_r1000,510011,baseline,14,True,0.0,,,,,,,,,,
4,14,10018.937693152873,715.6384066537767,0.6058494000026258,True,31,304,93,79,2,plus_r1000,510011,directional_layers_safe,14,True,0.0,7922.937693152866,269.0,1520.0,279.0,28.0,0,0,0,0,12
4,11,10559.110207907223,959.9191098097475,0.13833750000048894,True,31,441,28,17,2,minus_r1000,510000,baseline,11,True,0.0,,,,,,,,,,
4,11,9797.87101632608,890.7155469387345,0.7436305000010179,True,31,398,23,12,4,minus_r1000,510000,directional_layers_safe,11,True,5.684341886080802e-14,7352.871016326078,364.0,1990.0,69.0,22.0,0,0,0,0,7
4,13,10614.544543615852,816.5034264319886,0.14991459999873769,True,31,377,111,98,1,minus_r1000,510001,baseline,13,True,0.0,,,,,,,,,,
