absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
0,step2,52,0,27,12,True,0,12,0,0,15,1,0,24.0,9.094947017729282e-13,570.545366437537,320,1600.0,4848.5443972504445,True,0,81.0,12,0,4,0.33767989999614656,2,1,22,12,49,8,1910031,65,5,3,25,293.0,6846.5443972504445,0.3545092999993358
0,step1,13,0,12,10,True,0,10,0,0,2,1,0,20.0,0.0,675.7548498607624,343,1715.0,4669.548498607624,True,0,36.0,10,0,4,0.2863208000053419,2,1,8,4,39,2,1910032,33,7,7,25,317.0,6757.548498607624,0.3035507000022335
0,step2,13,0,12,10,True,0,10,0,0,2,1,0,20.0,0.0,675.7548498607624,343,1715.0,4669.548498607624,True,0,36.0,10,0,4,0.2854454999906011,1,1,8,5,40,2,1910032,33,7,7,25,317.0,6757.548498607624,0.303237000000081
0,step1,84,0,18,12,True,0,12,0,0,6,1,0,24.0,0.0,502.33549610041496,303,1515.0,4155.025953204982,True,0,54.0,12,0,4,0.26110619999235496,5,1,14,6,43,5,1910033,70,7,6,25,280.0,6028.0259532049795,0.27865659999952186
0,step2,84,0,18,12,True,0,12,0,0,6,1,0,24.0,0.0,502.33549610041496,303,1515.0,4155.025953204982,True,0,54.0,12,0,4,0.26565990000381134,1,1,14,7,44,5,1910033,70,7,6,25,280.0,6028.0259532049795,0.28236460000334773
0,step1,61,0,32,16,True,2,16,1,0,16,1,0,32.0,2.2737367544323206e-13,375.35123740259814,212,1060.0,4634.6197984415685,True,0,96.0,16,0,4,0.3535376000072574,7,1,21,8,45,8,1910034,56,8,7,23,183.0,6005.61979844157,0.3714363999897614
0,step2,61,0,32,16,True,2,16,1,0,16,1,0,32.0,2.2737367544323206e-13,375.35123740259814,212,1060.0,4634.6197984415685,True,0,96.0,16,0,4,0.3480474999960279,4,1,21,12,49,8,1910034,56,8,7,23,183.0,6005.61979844157,0.36591959999350365
0,step1,45,0,11,10,True,0,10,0,0,1,0,0,20.0,0.0,640.3319465479357,317,1585.0,4470.319465479355,True,0,33.0,10,1,4,0.15928120000171475,5,0,13,6,41,5,1910035,28,6,5,25,295.0,6403.319465479357,0.17637480000848882
0,step2,45,0,11,10,True,0,10,0,0,1,0,0,20.0,0.0,640.3319465479357,317,1585.0,4470.319465479355,True,0,33.0,10,1,4,0.16162930001155473,2,0,13,8,43,5,1910035,28,6,5,25,295.0,6403.319465479357,0.17926610000722576
0,step1,51,0,28,10,True,0,10,0,0,18,1,0,20.0,0.0,658.5835405937547,330,1650.0,4526.835405937547,True,0,84.0,10,0,4,0.3265784999966854,4,1,15,7,42,4,1910036,44,5,5,25,305.0,6585.835405937547,0.34524579999560956
