problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,10,3209.7375079755325,320.97375079755324,0.9463886999874376,7,joint_route,119,10,0,0,2456.7375079755325,108.0,595.0,30.0,20.0,296,10,0,14,9,2,15,False,0,0,0,0,integrated,original,off,True,2.842170943040401e-14,LOCAL_SYNTHETIC,3482025,10,1.0,950.0,fixed,0
3,True,12,3558.8975889298076,296.574799077484,0.8098505999951158,7,joint_route,118,12,0,0,2796.897588929808,112.0,590.0,36.0,24.0,239,12,1,13,12,0,15,False,0,0,0,0,integrated,original,off,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482026,12,1.0,950.0,fixed,0
3,True,12,3442.15187533383,286.8459896111525,0.7546193999878597,7,joint_route,120,12,0,0,2668.15187533383,114.0,600.0,36.0,24.0,237,12,1,14,11,3,16,False,0,0,0,0,integrated,original,off,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3482027,12,1.0,950.0,fixed,0
3,True,14,3776.8445810338594,269.77461293099,1.1618337999971118,7,joint_route,118,14,0,0,3010.844581033858,106.0,590.0,42.0,28.0,406,14,0,17,13,3,19,False,0,0,0,0,integrated,original,off,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482028,14,1.0,950.0,fixed,0
3,True,12,3629.619863423455,302.4683219519546,0.7986144000024069,7,joint_route,121,12,0,0,2850.6198634234543,114.0,605.0,36.0,24.0,272,12,0,5,9,0,15,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482029,12,1.0,950.0,fixed,0
3,True,14,3862.916977902796,275.92264127877115,0.8319100000080653,7,joint_route,121,14,0,0,3071.9169779027966,116.0,605.0,42.0,28.0,293,14,0,9,14,1,18,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482030,14,1.0,950.0,fixed,0
3,True,11,3698.305908289193,336.2096280262903,0.835916800002451,7,joint_route,127,11,0,0,2889.3059082891923,119.0,635.0,33.0,22.0,250,11,1,4,10,1,13,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482031,11,1.0,950.0,fixed,0
3,True,12,3752.5413966633537,312.71178305527945,0.8943386000028113,7,joint_route,127,12,0,0,2940.5413966633537,117.0,635.0,36.0,24.0,294,12,0,2,11,0,13,False,0,0,0,0,integrated,original,off,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482032,12,1.0,950.0,fixed,0
3,True,16,3522.564456987517,220.16027856171982,1.1861460999934934,6,joint_route,104,16,0,0,2826.564456987516,96.0,520.0,48.0,32.0,353,16,0,10,16,8,20,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482033,16,1.0,950.0,fixed,0
3,True,15,3970.746228114179,264.71641520761193,1.3864115000033053,7,joint_route,120,15,0,0,3184.746228114178,111.0,600.0,45.0,30.0,333,15,4,27,15,7,17,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482034,15,1.0,950.0,fixed,0
3,True,10,3291.5485252981807,329.1548525298181,0.8762198000040371,7,joint_route,120,10,0,0,2531.548525298181,110.0,600.0,30.0,20.0,252,10,0,13,10,7,14,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482035,10,1.0,950.0,fixed,0
