arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,paired_total_sources,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,stations_visited,switch_s,virtual_time_s,wall_s
baseline,272,10,10,True,10,0,0,0,20.0,2.2737367544323206e-13,335.0893438392505,127,635.0,2549.893438392505,0,0,0,True,0,30.0,10,3,0.19120449999172706,10,10,joint_route,995051,0,7,116.0,3350.893438392505,0.19126479999977164
guard,272,10,10,True,10,0,0,0,20.0,2.2737367544323206e-13,335.0893438392505,127,635.0,2549.893438392505,71,99,0,True,0,30.0,10,3,0.1975001999962842,10,10,joint_route,995051,0,7,116.0,3350.893438392505,0.1975776000035694
measure,272,10,10,True,10,0,0,0,20.0,2.2737367544323206e-13,335.0893438392505,127,635.0,2549.893438392505,71,99,0,True,0,30.0,10,3,0.2054908999998588,10,10,joint_route,995051,0,7,116.0,3350.893438392505,0.20556950000172947
baseline,230,11,11,True,11,0,0,1,22.0,0.0,316.1131549010596,123,615.0,2691.2447039116546,0,0,0,True,15,33.0,11,3,0.21202619999530725,15,11,joint_route,995052,5,7,116.0,3477.2447039116555,0.21209579998685513
guard,230,11,11,True,11,0,0,1,22.0,0.0,316.14334623893006,123,615.0,2691.5768086282296,85,90,0,True,15,33.0,11,3,0.21434629999566823,15,11,joint_route,995052,5,7,116.0,3477.5768086282305,0.21443429999635555
measure,230,11,11,True,11,0,0,1,22.0,0.0,316.14334623893006,123,615.0,2691.5768086282296,73,90,0,True,15,33.0,11,3,0.21282719999726396,15,11,joint_route,995052,5,7,116.0,3477.5768086282305,0.21292560000438243
baseline,309,12,12,True,12,0,0,0,24.0,0.0,307.95786652445474,123,615.0,2907.494398293457,0,0,0,True,16,36.0,12,3,0.2520401000074344,17,12,joint_route,995053,3,7,113.0,3695.494398293457,0.25210369999695104
guard,297,12,12,True,12,0,0,0,24.0,0.0,293.42759138082494,122,610.0,2738.1310965698995,94,87,0,True,16,36.0,12,3,0.2514823000092292,17,12,joint_route,995053,3,7,113.0,3521.131096569899,0.2515646999963792
measure,297,12,12,True,12,0,0,0,24.0,0.0,293.42759138082494,122,610.0,2738.1310965698995,74,87,0,True,16,36.0,12,3,0.2555798999965191,17,12,joint_route,995053,3,7,113.0,3521.131096569899,0.25566140000591986
baseline,399,16,16,True,16,0,0,0,32.0,0.0,234.1735370200412,108,540.0,3029.7765923206584,0,0,0,True,10,48.0,16,3,0.31775329999800306,21,14,joint_route,995054,2,6,97.0,3746.7765923206593,0.3178235999948811
